Volcano Name,Country,Volcanic Region,Volcanic Province,Volcano Landform,Primary Volcano Type,Activity Evidence,Last Known Eruption,Latitude,Longitude,Elevation (m),Tectonic Setting,Dominant Rock Type
Iamalele,Papua New Guinea,Southwest Pacific Volcanic Regions,Trobriand Volcanic Arc,Cluster,Lava dome(s),Evidence Credible,Unknown,-9.5056,150.5239,194,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Dawson Strait Group,Papua New Guinea,Southwest Pacific Volcanic Regions,Trobriand Volcanic Arc,Cluster,Volcanic field,Eruption Dated,1350 CE,-9.62,150.88,500,Subduction zone / Continental crust (>25 km),Rhyolite
Lihir,Papua New Guinea,Southwest Pacific Volcanic Regions,New Ireland Volcanic Arc,Composite,Compound,Evidence Credible,Unknown,-3.125,152.642,700,Subduction zone / Crustal thickness unknown,Trachybasalt / Tephrite Basanite
Ambitle,Papua New Guinea,Southwest Pacific Volcanic Regions,New Ireland Volcanic Arc,Composite,Stratovolcano,Eruption Dated,350 BCE,-4.08,153.65,450,Subduction zone / Crustal thickness unknown,Phono-tephrite /  Tephri-phonolite
Balbi,Papua New Guinea,Southwest Pacific Volcanic Regions,Solomon Volcanic Arc,Composite,Stratovolcano,Evidence Credible,Unknown,-5.9156,155.0008,2715,Subduction zone / Crustal thickness unknown,Andesite / Basaltic Andesite
Billy Mitchell,Papua New Guinea,Southwest Pacific Volcanic Regions,Solomon Volcanic Arc,Caldera,Caldera,Eruption Dated,1580 CE,-6.0898,155.2254,1544,Subduction zone / Crustal thickness unknown,Andesite / Basaltic Andesite
Bagana,Papua New Guinea,Southwest Pacific Volcanic Regions,Solomon Volcanic Arc,Composite,Lava cone,Eruption Observed,2024 CE,-6.137,155.196,1855,Subduction zone / Crustal thickness unknown,Andesite / Basaltic Andesite
Takuan Group,Papua New Guinea,Southwest Pacific Volcanic Regions,Solomon Volcanic Arc,Composite,Compound,Evidence Credible,Unknown,-6.442,155.608,2210,Subduction zone / Crustal thickness unknown,Andesite / Basaltic Andesite
Loloru,Papua New Guinea,Southwest Pacific Volcanic Regions,Solomon Volcanic Arc,Composite,Compound,Eruption Dated,1050 BCE,-6.52,155.62,1887,Subduction zone / Crustal thickness unknown,Andesite / Basaltic Andesite
Simbo,Solomon Islands,Southwest Pacific Volcanic Regions,Solomon Volcanic Arc,Composite,Stratovolcano(es),Eruption Dated,1910 CE,-8.292,156.52,335,Subduction zone / Crustal thickness unknown,Andesite / Basaltic Andesite
Kana Keoki,Solomon Islands,Southwest Pacific Volcanic Regions,Solomon Volcanic Arc,Composite,Stratovolcano,Evidence Credible,Unknown,-8.75,157.03,-700,Subduction zone / Crustal thickness unknown,Dacite
Coleman Seamount,Solomon Islands,Southwest Pacific Volcanic Regions,Solomon Volcanic Arc,Composite,Stratovolcano,Evidence Credible,Unknown,-8.841,157.16,-717,Subduction zone / Crustal thickness unknown,No Data (checked)
Kavachi,Solomon Islands,Southwest Pacific Volcanic Regions,Solomon Volcanic Arc,Composite,Stratovolcano,Eruption Observed,2014 CE,-8.991,157.979,-20,Subduction zone / Crustal thickness unknown,Andesite / Basaltic Andesite
Unnamed,Solomon Islands,Southwest Pacific Volcanic Regions,Solomon Volcanic Arc,Composite,Stratovolcano,Evidence Credible,Unknown,-8.92,158.03,-240,Subduction zone / Crustal thickness unknown,Andesite / Basaltic Andesite
Gallego,Solomon Islands,Southwest Pacific Volcanic Regions,Solomon Volcanic Arc,Cluster,Volcanic field,Evidence Uncertain,Unknown,-9.35,159.73,1000,Subduction zone / Crustal thickness unknown,Andesite / Basaltic Andesite
Savo,Solomon Islands,Southwest Pacific Volcanic Regions,Solomon Volcanic Arc,Composite,Stratovolcano,Eruption Observed,1847 CE,-9.13,159.82,485,Subduction zone / Crustal thickness unknown,Andesite / Basaltic Andesite
Tinakula,Solomon Islands,Southwest Pacific Volcanic Regions,Vanuatu Volcanic Arc,Composite,Stratovolcano,Eruption Observed,2024 CE,-10.386,165.804,796,Subduction zone / Crustal thickness unknown,Andesite / Basaltic Andesite
Motlav,Vanuatu,Southwest Pacific Volcanic Regions,Vanuatu Volcanic Arc,Composite,Stratovolcano,Evidence Credible,Unknown,-13.67,167.67,411,Subduction zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt
Suretamatai,Vanuatu,Southwest Pacific Volcanic Regions,Vanuatu Volcanic Arc,Composite,Complex,Eruption Observed,1966 CE,-13.8,167.47,921,Subduction zone / Intermediate crust (15-25 km),Andesite / Basaltic Andesite
Gaua,Vanuatu,Southwest Pacific Volcanic Regions,Vanuatu Volcanic Arc,Composite,Stratovolcano,Eruption Observed,2022 CE,-14.281,167.514,729,Subduction zone / Intermediate crust (15-25 km),Andesite / Basaltic Andesite
Ambae,Vanuatu,Southwest Pacific Volcanic Regions,Vanuatu Volcanic Arc,Shield,Shield,Eruption Observed,2024 CE,-15.389,167.835,1496,Subduction zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt
Ambrym,Vanuatu,Southwest Pacific Volcanic Regions,Vanuatu Volcanic Arc,Shield,Shield(pyroclastic),Eruption Observed,2024 CE,-16.25,168.12,1334,Subduction zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt
Lopevi,Vanuatu,Southwest Pacific Volcanic Regions,Vanuatu Volcanic Arc,Composite,Stratovolcano,Eruption Observed,2007 CE,-16.507,168.346,1413,Subduction zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt
East Epi,Vanuatu,Southwest Pacific Volcanic Regions,Vanuatu Volcanic Arc,Cluster,Stratovolcano(es),Eruption Observed,2023 CE,-16.6797,168.3893,833,Subduction zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt
Kuwae,Vanuatu,Southwest Pacific Volcanic Regions,Vanuatu Volcanic Arc,Caldera,Caldera,Eruption Observed,1974 CE,-16.8304,168.5227,-2,Subduction zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt
Nguna-Emau,Vanuatu,Southwest Pacific Volcanic Regions,Vanuatu Volcanic Arc,Composite,Stratovolcano(es),Evidence Credible,Unknown,-17.4522,168.353,589,Subduction zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt
Traitor's Head,Vanuatu,Southwest Pacific Volcanic Regions,Vanuatu Volcanic Arc,Composite,Stratovolcano,Eruption Observed,1881 CE,-18.754,169.238,817,Subduction zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt
Yasur,Vanuatu,Southwest Pacific Volcanic Regions,Vanuatu Volcanic Arc,Composite,Stratovolcano,Eruption Observed,2024 CE,-19.532,169.447,361,Subduction zone / Intermediate crust (15-25 km),Andesite / Basaltic Andesite
Gemini-Oscostar,Vanuatu,Southwest Pacific Volcanic Regions,Vanuatu Volcanic Arc,Cluster,Stratovolcano,Eruption Observed,1996 CE,-20.957,170.13,-33,Rift zone / Oceanic crust (< 15 km),Basalt / Picro-Basalt
Matthew Island,France - claimed by Vanuatu,Southwest Pacific Volcanic Regions,Vanuatu Volcanic Arc,Composite,Stratovolcano,Eruption Observed,1956 CE,-22.33,171.32,177,Subduction zone / Crustal thickness unknown,Andesite / Basaltic Andesite
Hunter Island,France - claimed by Vanuatu,Southwest Pacific Volcanic Regions,Vanuatu Volcanic Arc,Composite,Stratovolcano,Eruption Observed,1903 CE,-22.4,172.05,297,Subduction zone / Crustal thickness unknown,Andesite / Basaltic Andesite
Newer Volcanics Province,Australia,Eastern Australia Volcanic Regions,Southeastern Australia Volcanic Province,Cluster,Volcanic field,Eruption Dated,2900 BCE,-37.77,142.5,1011,Intraplate / Continental crust (>25 km),Trachybasalt / Tephrite Basanite
McBride Volcanic Province,Australia,Eastern Australia Volcanic Regions,Northeastern Australia Volcanic Province,Cluster,Volcanic field,Eruption Dated,5050 BCE,-18.367,144.567,1020,Intraplate / Continental crust (>25 km),
Narcondum,India,Sunda-Banda Volcanic Regions,Andaman Volcanic Back-Arc,Composite,Stratovolcano,Evidence Credible,Unknown,13.43,94.28,710,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Barren Island,India,Sunda-Banda Volcanic Regions,Andaman Volcanic Back-Arc,Composite,Stratovolcano,Eruption Observed,2024 CE,12.278,93.858,354,Subduction zone / Continental crust (>25 km),Basalt / Picro-Basalt
Seulawah Agam,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano,Eruption Observed,1839 CE,5.448,95.658,1810,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Peuet Sague,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Complex,Eruption Observed,2000 CE,4.903,96.289,2785,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
"Telong, Bur ni",Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano,Eruption Observed,1937 CE,4.769,96.821,2617,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Singkut,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Caldera,Caldera(s),Eruption Observed,1881 CE,3.2379,98.5127,2181,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Sinabung,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano,Eruption Observed,2021 CE,3.17,98.392,2460,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Toba,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Caldera,Caldera,Evidence Credible,Unknown,2.6083,98.8417,2157,Subduction zone / Continental crust (>25 km),Dacite
Sibualbuali,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano,Evidence Uncertain,Unknown,1.556,99.255,1819,Subduction zone / Continental crust (>25 km),Dacite
Lubukraya,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano,Evidence Uncertain,Unknown,1.478,99.209,1862,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Sorikmarapi,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano,Eruption Observed,1986 CE,0.686,99.539,2145,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Malintang,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano,Evidence Credible,Unknown,0.47,99.67,1983,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Talakmau,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Complex,Evidence Credible,Unknown,0.079,99.98,2919,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Marapi,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Complex,Eruption Observed,2024 CE,-0.38,100.474,2885,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Tandikat-Singgalang,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano(es),Eruption Observed,1924 CE,-0.39,100.331,2854,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Talang,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano,Eruption Observed,2007 CE,-0.979,100.681,2575,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Kerinci,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano,Eruption Observed,2024 CE,-1.697,101.264,3800,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Sumbing,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano,Eruption Observed,1921 CE,-2.414,101.728,2507,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Hululais,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Compound,Unrest / Holocene,Unknown,-3.247,102.239,2122,Subduction zone / Continental crust (>25 km),Basalt / Picro-Basalt
"Daun, Bukit",Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano(es),Unrest / Holocene,Unknown,-3.38,102.37,2467,Subduction zone / Continental crust (>25 km),Basalt / Picro-Basalt
Kaba,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano,Eruption Observed,2000 CE,-3.522,102.615,1940,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Dempo,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano(es),Eruption Observed,2024 CE,-4.016,103.121,3142,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Patah,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano?,Unrest / Holocene,Unknown,-4.257,103.306,2836,Subduction zone / Continental crust (>25 km),No Data (checked)
Ranau,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Caldera,Caldera,Evidence Uncertain,Unknown,-4.871,103.925,1854,Subduction zone / Continental crust (>25 km),Dacite
Suoh,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Cluster,Caldera(s),Eruption Observed,2024 CE,-5.25,104.27,1000,Subduction zone / Continental crust (>25 km),No Data (checked)
Rajabasa,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano,Unrest / Holocene,Unknown,-5.78,105.625,1281,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Krakatau,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Caldera,Caldera,Eruption Observed,2023 CE,-6.1009,105.4233,285,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Pulosari,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano,Evidence Credible,Unknown,-6.343,105.978,1324,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Karang,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano,Evidence Uncertain,Unknown,-6.268,106.05,1768,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Perbakti-Gagak,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano(es),Eruption Observed,1939 CE,-6.75,106.675,1726,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Salak,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano,Eruption Observed,1938 CE,-6.716,106.733,2218,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Gede-Pangrango,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano(es),Eruption Observed,1957 CE,-6.786,106.983,3026,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Patuha,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano,Evidence Credible,Unknown,-7.162,107.4,2422,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Tangkuban Parahu,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano,Eruption Observed,2019 CE,-6.77,107.6,2084,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Papandayan,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano(es),Eruption Observed,2002 CE,-7.32,107.73,2665,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Kendang,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano,Evidence Credible,Unknown,-7.245,107.709,2594,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Guntur,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Complex,Eruption Observed,1847 CE,-7.143,107.841,2251,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Tampomas,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano,Evidence Credible,Unknown,-6.7639,107.9612,1690,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Galunggung,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano,Eruption Observed,1984 CE,-7.25,108.058,2168,Subduction zone / Continental crust (>25 km),Basalt / Picro-Basalt
Talagabodas,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano,Unrest / Holocene,Unknown,-7.208,108.07,2201,Subduction zone / Continental crust (>25 km),Basalt / Picro-Basalt
Ciremai,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano,Eruption Observed,1951 CE,-6.895,108.408,3039,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Slamet,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano,Eruption Observed,2014 CE,-7.242,109.208,3428,Subduction zone / Continental crust (>25 km),Basalt / Picro-Basalt
Dieng Volcanic Complex,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Complex,Eruption Observed,2021 CE,-7.2,109.879,2565,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Sundoro,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano,Eruption Observed,1971 CE,-7.302,109.996,3147,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Sumbing,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano,Eruption Observed,1730 CE,-7.384,110.07,3371,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Ungaran,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano,Evidence Credible,Unknown,-7.1876,110.3455,2033,Subduction zone / Continental crust (>25 km),Trachyandesite / Basaltic Trachyandesite
Telomoyo,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano,Evidence Credible,Unknown,-7.362,110.4,1864,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Merbabu,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano,Eruption Observed,1797 CE,-7.454,110.44,3118,Subduction zone / Continental crust (>25 km),Basalt / Picro-Basalt
Merapi,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano,Eruption Observed,2024 CE,-7.54,110.446,2910,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Lawu,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano,Eruption Observed,1885 CE,-7.625,111.192,3265,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Wilis,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano,Evidence Credible,Unknown,-7.808,111.758,2563,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Kelud,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano,Eruption Observed,2014 CE,-7.935,112.314,1730,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Kawi-Butak,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano(es),Evidence Credible,Unknown,-7.92,112.45,2651,Subduction zone / Continental crust (>25 km),No Data (checked)
Arjuno-Welirang,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano,Eruption Observed,1952 CE,-7.733,112.575,3343,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Penanggungan,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano,Evidence Credible,Unknown,-7.616,112.62,1631,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Semeru,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano,Eruption Observed,2024 CE,-8.108,112.922,3657,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Tengger Caldera,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano(es),Eruption Observed,2023 CE,-7.942,112.95,2329,Subduction zone / Continental crust (>25 km),Trachyandesite / Basaltic Trachyandesite
Lamongan,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano,Eruption Observed,1898 CE,-7.981,113.341,1641,Subduction zone / Continental crust (>25 km),Basalt / Picro-Basalt
Iyang-Argapura,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Complex,Evidence Credible,Unknown,-7.97,113.57,3088,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Raung,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano,Eruption Observed,2022 CE,-8.119,114.056,3260,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Ijen,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano(es),Eruption Observed,1999 CE,-8.058,114.242,2769,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Baluran,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano,Evidence Uncertain,Unknown,-7.85,114.37,1247,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Buyan-Bratan,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Cluster,Caldera,Evidence Credible,Unknown,-8.283,115.133,2244,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Batur,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Caldera,Caldera,Eruption Observed,2000 CE,-8.2403,115.3775,1711,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Agung,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano,Eruption Observed,2019 CE,-8.343,115.508,2997,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Rinjani,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano,Eruption Observed,2016 CE,-8.42,116.47,3726,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Tambora,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano,Eruption Observed,1967 CE,-8.25,118,2850,Subduction zone / Continental crust (>25 km),Trachybasalt / Tephrite Basanite
Sangeang Api,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Complex,Eruption Observed,2022 CE,-8.2,119.07,1912,Subduction zone / Continental crust (>25 km),Trachybasalt / Tephrite Basanite
"Sano, Wai",Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Caldera,Evidence Credible,Unknown,-8.7345,120.0074,1319,Subduction zone / Continental crust (>25 km),Dacite
Ranakah,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Cluster,Lava dome(s),Eruption Observed,1991 CE,-8.637,120.5302,2288,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Inierie,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano,Eruption Dated,8050 BCE,-8.875,120.95,2245,Subduction zone / Crustal thickness unknown,Andesite / Basaltic Andesite
Inielika,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Complex,Eruption Observed,2001 CE,-8.73,120.98,1559,Subduction zone / Crustal thickness unknown,Andesite / Basaltic Andesite
Ebulobo,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano,Eruption Observed,1969 CE,-8.817,121.191,2096,Subduction zone / Crustal thickness unknown,Andesite / Basaltic Andesite
Iya,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano,Eruption Observed,1969 CE,-8.891,121.641,618,Subduction zone / Crustal thickness unknown,Basalt / Picro-Basalt
Kelimutu,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Complex,Eruption Observed,1968 CE,-8.77,121.82,1639,Subduction zone / Crustal thickness unknown,Andesite / Basaltic Andesite
Paluweh,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano,Eruption Observed,2013 CE,-8.32,121.708,875,Subduction zone / Crustal thickness unknown,Andesite / Basaltic Andesite
Egon,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano,Eruption Observed,2008 CE,-8.676,122.455,1661,Subduction zone / Crustal thickness unknown,Andesite / Basaltic Andesite
Lewotobi,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano(es),Eruption Observed,2024 CE,-8.542,122.775,1703,Subduction zone / Crustal thickness unknown,Andesite / Basaltic Andesite
Leroboleng,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Complex,Eruption Observed,2003 CE,-8.365,122.833,1095,Subduction zone / Crustal thickness unknown,Andesite / Basaltic Andesite
Iliboleng,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano,Eruption Observed,1993 CE,-8.342,123.258,1659,Subduction zone / Crustal thickness unknown,Basalt / Picro-Basalt
Lewotolok,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano,Eruption Observed,2024 CE,-8.274,123.508,1431,Subduction zone / Crustal thickness unknown,Andesite / Basaltic Andesite
Ililabalekan,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano,Unrest / Holocene,Unknown,-8.55,123.38,1018,Subduction zone / Crustal thickness unknown,Basalt / Picro-Basalt
Iliwerung,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Complex,Eruption Observed,2021 CE,-8.532,123.573,583,Subduction zone / Crustal thickness unknown,Basalt / Picro-Basalt
"Tara, Batu",Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano,Eruption Observed,2015 CE,-7.791,123.585,633,Subduction zone / Oceanic crust (< 15 km),Trachybasalt / Tephrite Basanite
Sirung,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Complex,Eruption Observed,2021 CE,-8.4972,124.1306,1347,Subduction zone / Crustal thickness unknown,Andesite / Basaltic Andesite
Wurlali,Indonesia,Sunda-Banda Volcanic Regions,Inner Banda Volcanic Arc,Composite,Stratovolcano,Eruption Observed,1892 CE,-7.125,128.675,868,Subduction zone / Oceanic crust (< 15 km),Andesite / Basaltic Andesite
Teon,Indonesia,Sunda-Banda Volcanic Regions,Inner Banda Volcanic Arc,Composite,Stratovolcano,Eruption Observed,1904 CE,-6.976,129.144,728,Subduction zone / Oceanic crust (< 15 km),Andesite / Basaltic Andesite
Nila,Indonesia,Sunda-Banda Volcanic Regions,Inner Banda Volcanic Arc,Composite,Stratovolcano,Eruption Observed,1968 CE,-6.73,129.5,781,Subduction zone / Oceanic crust (< 15 km),Andesite / Basaltic Andesite
Serua,Indonesia,Sunda-Banda Volcanic Regions,Inner Banda Volcanic Arc,Composite,Stratovolcano,Eruption Observed,1921 CE,-6.312,130.017,608,Subduction zone / Oceanic crust (< 15 km),Andesite / Basaltic Andesite
